"iteration","y","feasible","violation","f_best_so_far","true_evals","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
0,9,0,14,12,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0
0,6,0,25,12,2,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
0,6,0,18,12,3,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0
0,10,0,18,12,4,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0
0,11,0,7,12,5,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1
0,9,0,20,12,6,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1
0,7,0,14,12,7,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0
0,7,0,52,12,8,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
0,5,0,71,12,9,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
0,6,0,46,12,10,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,8,0,11,12,11,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
0,9,0,12,12,12,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1
0,4,0,137,12,13,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,5,0,29,12,14,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,6,0,32,12,15,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
0,12,0,2,12,16,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1
0,7,0,16,12,17,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0
0,6,0,47,12,18,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1
0,11,0,10,12,19,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1
0,12,1,0,12,20,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
1,8,0,30,12,21,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0
2,9,0,16,12,22,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1
3,10,0,16,12,23,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0
4,11,0,16,12,24,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1
5,12,0,8,12,25,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0
6,13,0,1,12,26,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
7,14,0,8,12,27,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
8,15,1,0,12,28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
9,15,1,0,12,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
10,14,1,0,12,30,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
11,14,1,0,12,31,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
12,15,1,0,12,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
13,16,1,0,12,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,16,1,0,12,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,15,1,0,12,35,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
16,12,0,2,12,36,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
17,15,1,0,12,37,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
18,12,0,2,12,38,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
19,11,1,0,11,39,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
20,11,0,1,11,40,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0
21,13,0,2,11,41,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
22,11,0,3,11,42,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
23,15,1,0,11,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
24,12,1,0,11,44,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
25,14,1,0,11,45,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
26,12,0,3,11,46,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
27,11,1,0,11,47,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
28,12,0,1,11,48,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
29,10,1,0,10,49,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
30,13,1,0,10,50,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
31,11,1,0,10,51,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
32,15,1,0,10,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
33,14,1,0,10,53,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
34,11,1,0,10,54,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
35,9,0,8,10,55,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0
36,15,1,0,10,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
37,15,1,0,10,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
38,9,1,0,9,58,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0
39,12,1,0,9,59,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
40,14,1,0,9,60,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
41,13,1,0,9,61,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
42,16,1,0,9,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,12,0,7,9,63,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
44,11,1,0,9,64,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
45,13,1,0,9,65,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
46,13,1,0,9,66,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
47,8,0,2,9,67,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
48,15,1,0,9,68,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
49,16,1,0,9,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,15,1,0,9,70,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
51,12,1,0,9,71,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
52,8,0,8,9,72,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0
53,14,1,0,9,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
54,14,1,0,9,74,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
55,13,1,0,9,75,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
56,14,1,0,9,76,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
57,12,1,0,9,77,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
58,13,1,0,9,78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
59,14,1,0,9,79,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
