"iteration","coverage","feasible","violation","best_cov_so_far","true_evals","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
0,892026,0,3,NA,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0
0,821832,0,4,NA,2,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0
0,873655,0,7,NA,3,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
0,848336,0,2,NA,4,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0
0,772216,0,1,NA,5,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0,921805,0,5,NA,6,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0
0,839379,0,3,NA,7,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0
0,863612,0,4,NA,8,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0
0,789907,0,4,NA,9,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0
0,757549,0,2,NA,10,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
1,274115,1,0,274115,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,274115,1,0,274115,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,274115,1,0,274115,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,274115,1,0,274115,14,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,274115,1,0,274115,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,274115,1,0,274115,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,274115,1,0,274115,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,812132,1,0,812132,18,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
9,866812,0,4,812132,19,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1
10,796184,0,1,812132,20,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
11,630613,0,1,812132,21,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
12,800094,0,1,812132,22,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
13,671971,1,0,812132,23,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
14,753823,1,0,812132,24,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
15,762548,0,1,812132,25,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
16,746975,1,0,812132,26,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
17,744741,1,0,812132,27,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
18,812132,1,0,812132,28,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
19,698544,1,0,812132,29,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
20,507816,1,0,812132,30,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
21,628775,1,0,812132,31,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
22,812132,1,0,812132,32,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
23,749298,1,0,812132,33,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24,791499,1,0,812132,34,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25,812132,1,0,812132,35,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
26,812132,1,0,812132,36,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
27,604233,1,0,812132,37,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28,812132,1,0,812132,38,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
29,768441,1,0,812132,39,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
30,704821,1,0,812132,40,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
31,812132,1,0,812132,41,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
32,812132,1,0,812132,42,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
33,791499,1,0,812132,43,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,812132,1,0,812132,44,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
35,812132,1,0,812132,45,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
36,812132,1,0,812132,46,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
37,812132,1,0,812132,47,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
38,812132,1,0,812132,48,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
39,734677,1,0,812132,49,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
40,812132,1,0,812132,50,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
41,747808,1,0,812132,51,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
42,812132,1,0,812132,52,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
43,812132,1,0,812132,53,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
44,812132,1,0,812132,54,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
45,622320,1,0,812132,55,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
46,791499,1,0,812132,56,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
47,753404,1,0,812132,57,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
48,621846,1,0,812132,58,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
49,791499,1,0,812132,59,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
50,655078,1,0,812132,60,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
51,749298,1,0,812132,61,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
52,709419,1,0,812132,62,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
53,812132,1,0,812132,63,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
54,628691,1,0,812132,64,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
55,728146,1,0,812132,65,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
56,776102,1,0,812132,66,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
57,707513,1,0,812132,67,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
58,812132,1,0,812132,68,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
59,812132,1,0,812132,69,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
60,675770,1,0,812132,70,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
61,812132,1,0,812132,71,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
62,725454,1,0,812132,72,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
63,788863,1,0,812132,73,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
64,697968,1,0,812132,74,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
65,744339,1,0,812132,75,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
66,785222,1,0,812132,76,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
67,796478,1,0,812132,77,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
68,726577,1,0,812132,78,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
69,791499,1,0,812132,79,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
70,736734,1,0,812132,80,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
71,812132,1,0,812132,81,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
72,796478,1,0,812132,82,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
73,708362,1,0,812132,83,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
74,812132,1,0,812132,84,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
75,605737,1,0,812132,85,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
76,812132,1,0,812132,86,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
77,791499,1,0,812132,87,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
78,796478,1,0,812132,88,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
79,728337,1,0,812132,89,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
80,648824,1,0,812132,90,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
81,676632,1,0,812132,91,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
82,742105,1,0,812132,92,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
83,812132,1,0,812132,93,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
84,812132,1,0,812132,94,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
85,426384,1,0,812132,95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,812132,1,0,812132,96,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
87,726308,1,0,812132,97,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
88,791499,1,0,812132,98,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
89,729344,1,0,812132,99,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
90,557385,1,0,812132,100,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
91,671383,1,0,812132,101,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
92,812132,1,0,812132,102,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
93,812132,1,0,812132,103,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
94,812132,1,0,812132,104,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
