"method","run","iteration","coverage","feasible","violation","best_cov_so_far","true_evals","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
"GA",1,1,759950,1,0,759950,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"GA",1,2,675362,0,1,NA,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
"GA",1,3,907814,0,4,NA,3,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0
"GA",1,4,806112,0,2,NA,4,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
"GA",1,5,928222,0,3,NA,5,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
"GA",1,6,935911,0,5,NA,6,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0
"GA",1,7,713381,1,0,NA,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"GA",1,8,850570,0,3,NA,8,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1
"GA",1,9,841991,0,3,NA,9,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
"GA",1,10,928193,0,6,NA,10,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1
"GA",1,11,946147,0,5,NA,11,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1
"GA",1,12,806112,0,5,NA,12,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1
"GA",1,13,724255,0,2,NA,13,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0
"GA",1,14,821374,0,4,NA,14,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0
"GA",1,15,928193,0,6,NA,15,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1
"GA",1,16,843102,0,4,NA,16,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0
"GA",1,17,807255,0,1,NA,17,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0
"GA",1,18,845360,0,4,NA,18,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1
"GA",1,19,856628,0,4,NA,19,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0
"GA",1,20,580579,0,2,NA,20,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
"GA",1,21,926185,0,5,NA,21,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1
"GA",1,22,912905,0,4,NA,22,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0
"GA",1,23,824325,0,4,NA,23,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1
"GA",1,24,806112,0,4,NA,24,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0
"GA",1,25,873655,0,5,NA,25,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1
"GA",1,26,753983,0,2,NA,26,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
"GA",1,27,941053,0,5,NA,27,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0
"GA",1,28,889775,0,4,NA,28,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0
"GA",1,29,928193,0,6,NA,29,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1
"GA",1,30,823841,0,2,NA,30,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
"GA",1,31,762184,0,2,NA,31,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
"GA",1,32,808641,0,2,NA,32,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
"GA",1,33,907814,0,4,NA,33,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
"GA",1,34,806112,0,3,NA,34,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
"GA",1,35,836069,0,5,NA,35,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1
"GA",1,36,815725,0,3,NA,36,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0
"GA",1,37,929853,0,6,NA,37,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1
"GA",1,38,528417,1,0,NA,38,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"GA",1,39,796707,0,2,NA,39,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
"GA",1,40,824066,0,5,NA,40,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1
"GA",1,41,856628,0,6,NA,41,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0
"GA",1,42,898584,0,9,NA,42,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
"GA",1,43,796184,0,1,NA,43,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"GA",1,44,907592,0,3,NA,44,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1
"GA",1,45,826075,0,6,NA,45,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1
"GA",1,46,887196,0,6,NA,46,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1
"GA",1,47,815769,0,3,NA,47,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1
"GA",1,48,384158,1,0,NA,48,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"GA",1,49,855064,0,3,NA,49,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"GA",1,50,876442,0,6,NA,50,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1
"GA",1,51,715186,0,4,NA,51,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1
"GA",1,52,824066,0,5,NA,52,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1
"GA",1,53,898926,0,3,NA,53,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1
"GA",1,54,938145,0,5,NA,54,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1
"GA",1,55,762184,0,1,NA,55,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"GA",1,56,759950,0,2,NA,56,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
"GA",1,57,796741,0,2,NA,57,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0
"GA",1,58,857298,0,6,NA,58,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1
"GA",1,59,946147,0,4,NA,59,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1
"GA",1,60,704166,1,0,NA,60,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"GA",1,61,824511,0,4,NA,61,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1
"GA",1,62,845360,0,4,NA,62,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1
"GA",1,63,806444,0,1,NA,63,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
"GA",1,64,753983,0,4,NA,64,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1
"GA",1,65,895568,0,4,NA,65,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1
"GA",1,66,742124,0,1,NA,66,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
"GA",1,67,759950,1,0,NA,67,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"GA",1,68,856628,0,3,NA,68,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
"GA",1,69,847594,0,4,NA,69,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1
"GA",1,70,764765,0,2,NA,70,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"GA",1,71,725892,0,2,NA,71,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0
"GA",1,72,780411,0,2,NA,72,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0
"GA",1,73,855064,0,3,NA,73,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
"GA",1,74,891457,0,7,NA,74,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1
"GA",1,75,808641,0,2,NA,75,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
"GA",1,76,907592,0,3,NA,76,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0
"GA",1,77,836069,0,5,NA,77,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1
"GA",1,78,824066,0,3,NA,78,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"GA",1,79,826745,0,6,NA,79,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1
