"generation","best_feasible","penalty_weight","instance","seed"
1,12826179,5,9,1009
2,12826179,5,9,1009
3,12826179,5,9,1009
4,12935436,5,9,1009
5,12935436,5,9,1009
6,12935436,5,9,1009
7,12935436,5,9,1009
8,12935436,5,9,1009
9,13015351,5,9,1009
10,13015351,5,9,1009
11,13015351,5,9,1009
12,13015351,5,9,1009
13,13015351,5,9,1009
14,13165643,5,9,1009
15,13165643,5,9,1009
16,13165643,5,9,1009
17,13165643,5,9,1009
18,13165643,5,9,1009
19,13165643,5,9,1009
20,13165643,5,9,1009
21,13165643,5,9,1009
22,13165643,5,9,1009
23,13209000,5,9,1009
24,13209000,5,9,1009
25,13209000,5,9,1009
26,13240880,5,9,1009
27,13240880,5,9,1009
28,13240880,5,9,1009
29,13245436,5,9,1009
30,13245436,5,9,1009
31,13245436,5,9,1009
32,13245436,5,9,1009
33,13245436,5,9,1009
34,13245436,5,9,1009
35,13245436,5,9,1009
36,13245436,5,9,1009
37,13245436,5,9,1009
38,13245436,5,9,1009
39,13245436,5,9,1009
40,13245436,5,9,1009
41,13245436,5,9,1009
42,13245436,5,9,1009
43,13245436,5,9,1009
44,13285375,5,9,1009
45,13285375,5,9,1009
46,13285375,5,9,1009
47,13285375,5,9,1009
48,13285375,5,9,1009
49,13285375,5,9,1009
50,13285375,5,9,1009
51,13285375,5,9,1009
52,13285375,5,9,1009
53,13313135,5,9,1009
54,13313135,5,9,1009
55,13313135,5,9,1009
56,13313135,5,9,1009
57,13313135,5,9,1009
58,13313135,5,9,1009
59,13313135,5,9,1009
60,13351106,5,9,1009
61,13351106,5,9,1009
62,13351106,5,9,1009
63,13351106,5,9,1009
64,13351106,5,9,1009
65,13351106,5,9,1009
66,13351106,5,9,1009
67,13351106,5,9,1009
68,13351106,5,9,1009
69,13351106,5,9,1009
70,13351106,5,9,1009
71,13351106,5,9,1009
72,13351106,5,9,1009
73,13351106,5,9,1009
74,13351106,5,9,1009
75,13351106,5,9,1009
76,13351106,5,9,1009
77,13351106,5,9,1009
78,13351106,5,9,1009
79,13351106,5,9,1009
80,13351106,5,9,1009
81,13351106,5,9,1009
82,13351106,5,9,1009
83,13351106,5,9,1009
84,13351106,5,9,1009
85,13351106,5,9,1009
86,13351106,5,9,1009
87,13351106,5,9,1009
88,13351106,5,9,1009
89,13351106,5,9,1009
90,13351106,5,9,1009
91,13351106,5,9,1009
92,13351106,5,9,1009
93,13351106,5,9,1009
94,13351106,5,9,1009
95,13351106,5,9,1009
96,13375768,5,9,1009
97,13375768,5,9,1009
98,13375768,5,9,1009
99,13375768,5,9,1009
100,13375768,5,9,1009
