"penalty_weight","instance","bart_best","ga_best","optimality_gap","feasibility_pct","n_feasible","n_total","x_best"
0.1,1,13038491,13277720,1.80173252636748,64.2307692307692,167,260,"000100111100001110100110"
0.1,2,13214951,13299072,0.632532856427877,64.2307692307692,167,260,"110001000111010111010011"
0.1,3,12948895,13280458,2.49662323392763,55.3846153846154,144,260,"011011001011000010110111"
0.1,4,12987292,13278279,2.19145116622418,58.0769230769231,151,260,"010101001010111011010110"
0.1,5,12855007,13389478,3.99172394920848,59.6153846153846,155,260,"111001111011000011010110"
0.1,6,13040325,12989220,-0.393441638527949,61.9230769230769,161,260,"110010000111011010001101"
0.1,7,12920056,13256022,2.53444057349935,65.3846153846154,170,260,"010011010100011100100011"
0.1,8,12887312,13407437,3.87937679662414,61.5384615384615,160,260,"100011100111010011110111"
0.1,9,12960762,13262453,2.27477526216304,63.4615384615385,165,260,"110110111100001010000111"
0.1,10,13090916,13268534,1.33864072700119,62.3076923076923,162,260,"110011010111000101010010"
1,1,13038491,13277720,1.80173252636748,75.7692307692308,197,260,"000100111100001110100110"
1,2,13264240,13299072,0.2619130116748,81.1538461538462,211,260,"110011101110010100000011"
1,3,12900205,13280458,2.86325215591209,75.7692307692308,197,260,"010101010110100000110111"
1,4,13380504,13278279,-0.769866335840661,66.5384615384615,173,260,"110011101110001110010100"
1,5,13035323,13389478,2.64502469775147,83.4615384615385,217,260,"110011010010010111011010"
1,6,12885443,12989220,0.79894712692525,82.6923076923077,215,260,"010101110000010111110111"
1,7,13102528,13256022,1.15791901974816,72.6923076923077,189,260,"101101100100111100000111"
1,8,13025935,13407437,2.84545062564903,72.6923076923077,189,260,"111111001110000001000000"
1,9,13279510,13262453,-0.128611200356374,73.0769230769231,190,260,"111001101010100110000111"
1,10,13130484,13268534,1.04043144480016,76.9230769230769,200,260,"110001000101101100110111"
2,1,13038491,13277720,1.80173252636748,83.8461538461539,218,260,"000100111100001110100110"
2,2,13102688,13299072,1.47667446269935,76.5384615384615,199,260,"110011000010110111011100"
2,3,13094910,13280458,1.39715061031781,75,195,260,"000010001110100110101000"
2,4,13209474,13278279,0.518177092076466,70,182,260,"110010000100111101000111"
2,5,13036135,13389478,2.63896023429741,79.6153846153846,207,260,"111100100000101110001111"
2,6,13270952,12989220,-2.16896780561111,78.0769230769231,203,260,"110010000110101100011011"
2,7,13098897,13256022,1.18531034423449,78.4615384615385,204,260,"010010010100110111010110"
2,8,13350599,13407437,0.423928898565774,77.6923076923077,202,260,"110011000111000111000111"
2,9,13251292,13262453,0.0841548693895466,85.7692307692308,223,260,"110101100111100011010111"
2,10,13098672,13268534,1.28018664307602,80,208,260,"100110100111000110100001"
5,1,13038491,13277720,1.80173252636748,85.3846153846154,222,260,"000100111100001110100110"
5,2,13142086,13299072,1.18042822837563,76.1538461538461,198,260,"110001000110110110010111"
5,3,13061046,13280458,1.65214181619339,86.5384615384615,225,260,"110001101111100000100011"
5,4,13207862,13278279,0.53031721957341,72.6923076923077,189,260,"110010100100001111100111"
5,5,13106623,13389478,2.11251700775788,77.3076923076923,201,260,"110011100010110111001100"
5,6,12907721,12989220,0.627435673581632,84.6153846153846,220,260,"111011010010000110011011"
5,7,13075500,13256022,1.36181125830962,74.2307692307692,193,260,"100101100110001111110001"
5,8,13263031,13407437,1.07705894870138,77.6923076923077,202,260,"000011101110010110100011"
5,9,13151135,13262453,0.839346989580284,84.2307692307692,219,260,"100111101110000100100001"
5,10,13099387,13268534,1.27479795431809,77.6923076923077,202,260,"010110111110001010010010"
10,1,13038491,13277720,1.80173252636748,82.3076923076923,214,260,"000100111100001110100110"
10,2,12933892,13299072,2.7459058797486,80.3846153846154,209,260,"010101000110100110110000"
10,3,12964712,13280458,2.37752342577342,80.3846153846154,209,260,"110010001010110011110000"
10,4,13025562,13278279,1.90323610461868,73.0769230769231,190,260,"110011010000110110100110"
10,5,13106623,13389478,2.11251700775788,82.6923076923077,215,260,"110011100010110111001100"
10,6,12956188,12989220,0.254303183716959,83.0769230769231,216,260,"011010100010011100100100"
10,7,13070708,13256022,1.39796086638963,78.4615384615385,204,260,"100110001101110011000110"
10,8,13325841,13407437,0.608587607012436,79.2307692307692,206,260,"100100001111001100010111"
10,9,13010562,13262453,1.89927911525869,79.2307692307692,206,260,"110100010100101110000011"
10,10,13021329,13268534,1.86309203413128,72.3076923076923,188,260,"011011100100101100011111"
