"task_id","penalty_weight","instance","seed","bart_best","ga_best","optimality_gap","feasibility_pct","n_feasible","n_total","bart_true_eval_count","ga_true_eval_count","bart_wall_sec","ga_wall_sec","x_best"
1,"0.1",1,1001,13038491,13372328,2.49647630539723,63.0769230769231,164,260,260,3766,90002.15,0.156000000002678,"000100111100001110100110"
6,"0.1",2,1002,13143293,13403702,1.94281400765251,63.0769230769231,164,260,260,3798,45698.794,0.0740000000005239,"110100010100011110010011"
11,"0.1",3,1003,13031989,13326861,2.21261405817919,54.6153846153846,142,260,260,3808,49665.342,0.077000000004773,"110000110110101110000010"
16,"0.1",4,1004,12879058,13266231,2.91848528794652,52.3076923076923,136,260,260,3815,87982.435,0.153999999994994,"010010101100111100010101"
21,"0.1",5,1005,12864846,13363813,3.73371731555956,61.5384615384615,160,260,260,3896,80231.195,0.158999999999651,"110110000010111010001101"
26,"0.1",6,1006,13102249,13310838,1.56706136758632,62.6923076923077,163,260,260,3802,48257.023,0.0750000000043656,"011000101011100110010110"
31,"0.1",7,1007,13149174,13221536,0.547304034871591,59.6153846153846,155,260,260,3815,84406.367,0.153000000005704,"100011101100110110001111"
36,"0.1",8,1008,12967595,13494864,3.90718276227163,57.3076923076923,149,260,260,3902,78895.997,0.156000000002678,"111101100100011101000000"
41,"0.1",9,1009,13155144,13375768,1.64943052241935,69.2307692307692,180,260,260,3882,74620.115,0.152000000001863,"010101010100100110100011"
46,"0.1",10,1010,12882687,13368521,3.63416416819781,58.8461538461538,153,260,260,3871,80052.778,0.154999999998836,"110011010110101010000111"
2,"1",1,1001,13081531,13372328,2.17461761332806,78.8461538461538,205,260,260,3766,82949.038,0.155999999988126,"100010001010101110110101"
7,"1",2,1002,13117698,13403702,2.13376871553844,75.7692307692308,197,260,260,3798,43855.944,0.0729999999966822,"110101001100100001110111"
12,"1",3,1003,12924773,13326861,3.01712458770299,76.5384615384615,199,260,260,3808,44291.133,0.0729999999966822,"010111001010010010111001"
17,"1",4,1004,13054143,13266231,1.59870576654364,70.3846153846154,183,260,260,3815,78914.279,0.152000000001863,"010110000001111101000111"
22,"1",5,1005,12832546,13363813,3.97541480114994,73.8461538461539,192,260,260,3896,48125.605,0.0730000000039581,"100011001110101011011011"
27,"1",6,1006,12932390,13310838,2.84315683204919,75.7692307692308,197,260,260,3802,45694.537,0.0760000000009313,"011011101011101010010101"
32,"1",7,1007,12851538,13221536,2.79844943885491,73.0769230769231,190,260,260,3815,77885.177,0.150999999998021,"000010111101100110011101"
37,"1",8,1008,12999487,13494864,3.6708558159608,72.3076923076923,188,260,260,3902,45318.513,0.0750000000043656,"100100000010011111110110"
42,"1",9,1009,13232260,13375768,1.07289540309013,78.8461538461538,205,260,260,3882,51134.303,0.0779999999940628,"100001111110000110100101"
47,"1",10,1010,13192222,13368521,1.31876218767955,77.6923076923077,202,260,260,3871,82574.279,0.154999999998836,"010101100110001110011111"
3,"2",1,1001,13038491,13372328,2.49647630539723,81.9230769230769,213,260,260,3766,73333.715,0.150999999998021,"000100111100001110100110"
8,"2",2,1002,12800586,13403702,4.49962256695949,77.6923076923077,202,260,260,3798,45469.227,0.0720000000001164,"111001010111010010010001"
13,"2",3,1003,12939343,13326861,2.90779651712432,70.3846153846154,183,260,260,3808,47179.621,0.0800000000017462,"100110101100110011110000"
18,"2",4,1004,12967963,13266231,2.24832508946965,66.5384615384615,173,260,260,3815,84689.678,0.161000000007334,"110010000100111001100111"
23,"2",5,1005,13102688,13363813,1.95397077166524,76.5384615384615,199,260,260,3896,78210.53,0.168999999994412,"110011000010110111011100"
28,"2",6,1006,13156464,13310838,1.15976169193855,76.5384615384615,199,260,260,3802,75151.348,0.153000000005704,"111000101010101100010110"
33,"2",7,1007,13182810,13221536,0.292900915597099,76.5384615384615,199,260,260,3815,42425.63,0.0720000000001164,"111000001011100100010110"
38,"2",8,1008,12938074,13494864,4.12594006134482,82.6923076923077,215,260,260,3902,75249.788,0.160000000003492,"001000001010010110101101"
43,"2",9,1009,13310775,13375768,0.485901071250638,76.1538461538461,198,260,260,3882,43803.222,0.0749999999970896,"010101110110010110000011"
48,"2",10,1010,13229540,13368521,1.03961388099701,73.8461538461539,192,260,260,3871,80673.779,0.154999999998836,"011000100110101110010110"
4,"5",1,1001,13392739,13372328,-0.152636100460593,80.7692307692308,210,260,260,3766,78095.455,0.283000000010361,"110101100110001111010011"
9,"5",2,1002,13082795,13403702,2.39416692492865,74.6153846153846,194,260,260,3798,78354.139,0.154999999998836,"110101100110010011100010"
14,"5",3,1003,13182711,13326861,1.08165005998037,75.3846153846154,196,260,260,3808,44297.053,0.0729999999966822,"111011100010000110110111"
19,"5",4,1004,13209345,13266231,0.428803026270235,74.2307692307692,193,260,260,3815,45162.675,0.0720000000001164,"110000000111100110011101"
24,"5",5,1005,13134420,13363813,1.716523570032,77.6923076923077,202,260,260,3896,46056.122,0.0729999999966822,"110011001100010110001110"
29,"5",6,1006,13070806,13310838,1.80328240791451,84.6153846153846,220,260,260,3802,43196.834,0.176999999996042,"110100101010011100010110"
34,"5",7,1007,13114776,13221536,0.807470478467857,72.3076923076923,188,260,260,3815,44480.099,0.0749999999970896,"110000001010101010111111"
39,"5",8,1008,13072782,13494864,3.1277232582707,73.4615384615385,191,260,260,3902,80909.784,0.153999999994994,"010010001010010111011110"
44,"5",9,1009,13184475,13375768,1.43014591760264,78.8461538461538,205,260,260,3882,77280.959,0.152999999991152,"101101101100100110000111"
49,"5",10,1010,12958542,13368521,3.06674911906859,77.3076923076923,201,260,260,3871,102885.855,0.186999999990803,"000101001110100110011101"
5,"10",1,1001,13187081,13372328,1.3853010485534,75.7692307692308,197,260,260,3766,45722.214,0.0730000000039581,"110010000110101110000110"
10,"10",2,1002,13326502,13403702,0.57596028321131,76.5384615384615,199,260,260,3798,84331.375,0.150999999998021,"110100100110011110000010"
15,"10",3,1003,12794674,13326861,3.99334096753917,71.5384615384615,186,260,260,3808,90092.995,0.157000000006519,"100100011010010010111011"
20,"10",4,1004,12935292,13266231,2.49459699593652,70.7692307692308,184,260,260,3815,44712.451,0.0829999999987194,"110000110100110110001101"
25,"10",5,1005,12993451,13363813,2.77137969530103,75.3846153846154,196,260,260,3896,79037.021,0.153999999994994,"100111100100110110001111"
30,"10",6,1006,13256181,13310838,0.410620278002031,80.3846153846154,209,260,260,3802,75577.79,0.155999999988126,"000100100111100110100110"
35,"10",7,1007,12940721,13221536,2.12392115409284,76.1538461538461,198,260,260,3815,87950.723,0.146999999997206,"110111001001011010100001"
40,"10",8,1008,12783933,13494864,5.26815979768303,80.3846153846154,209,260,260,3902,40987.243,0.0740000000005239,"011000000011001101100011"
45,"10",9,1009,12960762,13375768,3.1026704410543,75.7692307692308,197,260,260,3882,43239.692,0.0720000000001164,"110110111100001010000111"
50,"10",10,1010,12882687,13368521,3.63416416819781,78.4615384615385,204,260,260,3871,77151.824,0.156000000002678,"110011010110101010000111"
