"method","rep","seed","best","evals","elapsed_sec"
"BART-BO",1,2001,-51.5066143184306,270,364810.085
"BART-BO",2,2002,-39.9795793694825,270,387371.038
"BART-BO",3,2003,-34.8096461848411,270,394024.14
"BART-BO",4,2004,-54.4942515358572,270,167504.863
"BART-BO",5,2005,-37.6396056437062,270,256120.48
"BART-BO",6,2006,-51.7029976253766,270,174146.337
"BART-BO",7,2007,-40.9765628327675,270,171643.569
"BART-BO",8,2008,-40.3851676865475,270,176928.857
"BART-BO",9,2009,-41.5483051478952,270,371095.788
"BART-BO",10,2010,-41.3642641213007,270,167994.384
"DART-BO",1,1001,-46.0648293732934,270,22312.595
"DART-BO",2,1002,-43.236077231995,270,43287.14
"DART-BO",3,1003,-38.379466925211,270,36777.918
"DART-BO",4,1004,-54.1261471609155,270,40398.018
"DART-BO",5,1005,-50.4819813168073,270,22538.185
"DART-BO",6,1006,-48.6910346698133,270,43078.604
"DART-BO",7,1007,-41.3560618144068,270,40553.366
"DART-BO",8,1008,-47.4234004050046,270,45134.025
"DART-BO",9,1009,-46.1139722984045,270,37860.248
"DART-BO",10,1010,-41.8277200859305,270,37179.276
"Pure-GA",1,3001,-49.6645407543162,32311,1.467
"Pure-GA",2,3002,-41.8883021546226,32284,1.411
"Pure-GA",3,3003,-47.6855125935246,32303,1.422
"Pure-GA",4,3004,-55.8158442265084,32127,1.424
"Pure-GA",5,3005,-43.6973778246188,32265,1.43
"Pure-GA",6,3006,-57.92286500349,32389,1.44
"Pure-GA",7,3007,-52.2189727362531,32482,1.426
"Pure-GA",8,3008,-52.2961290661494,32276,1.435
"Pure-GA",9,3009,-48.2873362416609,32417,1.43
"Pure-GA",10,3010,-49.8045744417912,32166,1.434
