"iteration","coverage","feasible","violation","best_cov_so_far","true_evals","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
0,873503,0,6,NA,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0
0,703482,0,3,NA,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,916558,0,5,NA,3,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0
0,900340,0,4,NA,4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0
0,880204,0,5,NA,5,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0
0,889618,0,5,NA,6,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1
0,753983,0,3,NA,7,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
0,797030,0,4,NA,8,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1
0,873655,0,6,NA,9,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1
0,744891,0,2,NA,10,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
1,499391,0,1,NA,11,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
2,499391,0,1,NA,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
3,499391,0,1,NA,13,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
4,499391,0,1,NA,14,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
5,499391,0,1,NA,15,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
6,497157,1,0,497157,16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
7,497157,1,0,497157,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
8,816993,0,3,497157,18,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1
9,862721,0,2,497157,19,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
10,651591,1,0,651591,20,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
11,801631,0,1,651591,21,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0
12,929853,0,3,651591,22,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0
13,562774,1,0,651591,23,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
14,571601,1,0,651591,24,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
15,506917,1,0,651591,25,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16,741811,1,0,741811,26,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
17,437826,1,0,741811,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
18,741811,1,0,741811,28,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
19,875247,1,0,875247,29,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
20,604233,1,0,875247,30,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,414285,1,0,875247,31,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
22,875247,1,0,875247,32,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
23,875247,1,0,875247,33,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
24,875247,1,0,875247,34,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
