"generation","best_feasible","penalty_weight","instance","seed"
1,12947811,10,7,1007
2,12957021,10,7,1007
3,12957021,10,7,1007
4,12957021,10,7,1007
5,13107787,10,7,1007
6,13107787,10,7,1007
7,13183565,10,7,1007
8,13183565,10,7,1007
9,13183565,10,7,1007
10,13183565,10,7,1007
11,13183565,10,7,1007
12,13183565,10,7,1007
13,13183565,10,7,1007
14,13183565,10,7,1007
15,13183565,10,7,1007
16,13183565,10,7,1007
17,13183565,10,7,1007
18,13183565,10,7,1007
19,13183565,10,7,1007
20,13221536,10,7,1007
21,13221536,10,7,1007
22,13221536,10,7,1007
23,13221536,10,7,1007
24,13221536,10,7,1007
25,13221536,10,7,1007
26,13221536,10,7,1007
27,13221536,10,7,1007
28,13221536,10,7,1007
29,13221536,10,7,1007
30,13221536,10,7,1007
31,13221536,10,7,1007
32,13221536,10,7,1007
33,13221536,10,7,1007
34,13221536,10,7,1007
35,13221536,10,7,1007
36,13221536,10,7,1007
37,13221536,10,7,1007
38,13221536,10,7,1007
39,13221536,10,7,1007
40,13221536,10,7,1007
41,13221536,10,7,1007
42,13221536,10,7,1007
43,13221536,10,7,1007
44,13221536,10,7,1007
45,13221536,10,7,1007
46,13221536,10,7,1007
47,13221536,10,7,1007
48,13221536,10,7,1007
49,13221536,10,7,1007
50,13221536,10,7,1007
51,13221536,10,7,1007
52,13221536,10,7,1007
53,13221536,10,7,1007
54,13221536,10,7,1007
55,13221536,10,7,1007
56,13221536,10,7,1007
57,13221536,10,7,1007
58,13221536,10,7,1007
59,13221536,10,7,1007
60,13221536,10,7,1007
61,13221536,10,7,1007
62,13221536,10,7,1007
63,13221536,10,7,1007
64,13221536,10,7,1007
65,13221536,10,7,1007
66,13221536,10,7,1007
67,13221536,10,7,1007
68,13221536,10,7,1007
69,13221536,10,7,1007
70,13221536,10,7,1007
71,13221536,10,7,1007
72,13221536,10,7,1007
73,13221536,10,7,1007
74,13221536,10,7,1007
75,13221536,10,7,1007
76,13221536,10,7,1007
77,13221536,10,7,1007
78,13221536,10,7,1007
79,13221536,10,7,1007
80,13221536,10,7,1007
81,13221536,10,7,1007
82,13221536,10,7,1007
83,13221536,10,7,1007
84,13221536,10,7,1007
85,13221536,10,7,1007
86,13221536,10,7,1007
87,13221536,10,7,1007
88,13221536,10,7,1007
89,13221536,10,7,1007
90,13221536,10,7,1007
91,13221536,10,7,1007
92,13221536,10,7,1007
93,13221536,10,7,1007
94,13221536,10,7,1007
95,13221536,10,7,1007
96,13221536,10,7,1007
97,13221536,10,7,1007
98,13221536,10,7,1007
99,13221536,10,7,1007
100,13221536,10,7,1007
