"iteration","y","feasible","violation","f_best_so_far","true_evals"
0,9,0,14,12,1
0,6,0,25,12,2
0,6,0,18,12,3
0,10,0,18,12,4
0,11,0,7,12,5
0,9,0,20,12,6
0,7,0,14,12,7
0,7,0,52,12,8
0,5,0,71,12,9
0,6,0,46,12,10
0,8,0,11,12,11
0,9,0,12,12,12
0,4,0,137,12,13
0,5,0,29,12,14
0,6,0,32,12,15
0,12,0,2,12,16
0,7,0,16,12,17
0,6,0,47,12,18
0,11,0,10,12,19
0,12,1,0,12,20
1,8,0,30,12,21
2,9,0,16,12,22
3,10,0,16,12,23
4,11,0,16,12,24
5,12,0,8,12,25
6,13,0,1,12,26
7,14,0,8,12,27
8,15,1,0,12,28
9,15,1,0,12,29
10,14,1,0,12,30
11,14,1,0,12,31
12,15,1,0,12,32
13,16,1,0,12,33
14,16,1,0,12,34
15,15,1,0,12,35
16,12,0,2,12,36
17,15,1,0,12,37
18,12,0,2,12,38
19,11,1,0,11,39
20,11,0,1,11,40
21,13,0,2,11,41
22,11,0,3,11,42
23,15,1,0,11,43
24,12,1,0,11,44
25,14,1,0,11,45
26,12,0,3,11,46
27,11,1,0,11,47
28,12,0,1,11,48
29,10,1,0,10,49
30,13,1,0,10,50
31,11,1,0,10,51
32,15,1,0,10,52
33,14,1,0,10,53
34,11,1,0,10,54
35,9,0,8,10,55
36,15,1,0,10,56
37,15,1,0,10,57
38,9,1,0,9,58
39,12,1,0,9,59
40,14,1,0,9,60
41,13,1,0,9,61
42,16,1,0,9,62
43,12,0,7,9,63
44,11,1,0,9,64
45,13,1,0,9,65
46,13,1,0,9,66
47,8,0,2,9,67
48,15,1,0,9,68
49,16,1,0,9,69
50,15,1,0,9,70
51,12,1,0,9,71
52,8,0,8,9,72
53,14,1,0,9,73
54,14,1,0,9,74
55,13,1,0,9,75
56,14,1,0,9,76
57,12,1,0,9,77
58,13,1,0,9,78
59,14,1,0,9,79
60,14,1,0,9,80
61,15,1,0,9,81
62,8,0,2,9,82
63,13,1,0,9,83
64,12,1,0,9,84
65,15,1,0,9,85
66,14,1,0,9,86
67,13,1,0,9,87
68,14,1,0,9,88
69,13,1,0,9,89
70,13,1,0,9,90
71,13,0,8,9,91
72,13,1,0,9,92
73,15,1,0,9,93
74,12,1,0,9,94
75,12,1,0,9,95
76,10,1,0,9,96
77,8,0,8,9,97
78,8,0,16,9,98
79,13,1,0,9,99
80,12,0,7,9,100
81,11,1,0,9,101
82,13,1,0,9,102
83,13,1,0,9,103
84,8,0,2,9,104
85,11,1,0,9,105
86,14,1,0,9,106
87,15,1,0,9,107
88,14,1,0,9,108
89,15,1,0,9,109
90,12,1,0,9,110
91,13,1,0,9,111
92,14,1,0,9,112
93,8,0,18,9,113
94,12,1,0,9,114
95,14,1,0,9,115
96,8,0,2,9,116
97,14,1,0,9,117
98,12,1,0,9,118
99,12,1,0,9,119
100,13,1,0,9,120
101,12,1,0,9,121
102,15,1,0,9,122
103,8,0,10,9,123
104,11,1,0,9,124
105,14,1,0,9,125
106,13,1,0,9,126
107,13,0,7,9,127
108,8,0,3,9,128
109,12,1,0,9,129
110,13,1,0,9,130
111,14,1,0,9,131
112,12,1,0,9,132
113,13,1,0,9,133
114,13,1,0,9,134
115,14,1,0,9,135
116,14,1,0,9,136
117,13,1,0,9,137
118,14,1,0,9,138
119,14,1,0,9,139
120,11,1,0,9,140
121,13,1,0,9,141
122,14,1,0,9,142
123,16,1,0,9,143
124,8,0,16,9,144
125,8,0,44,9,145
126,13,1,0,9,146
127,12,1,0,9,147
128,14,1,0,9,148
129,15,1,0,9,149
130,13,0,10,9,150
131,13,1,0,9,151
132,14,1,0,9,152
133,13,1,0,9,153
134,12,1,0,9,154
135,13,1,0,9,155
136,13,1,0,9,156
137,12,1,0,9,157
138,12,1,0,9,158
139,14,1,0,9,159
140,11,1,0,9,160
141,13,1,0,9,161
142,8,0,36,9,162
143,7,0,9,9,163
144,8,0,9,9,164
145,8,0,4,9,165
146,8,0,5,9,166
147,8,0,15,9,167
148,8,0,4,9,168
149,7,0,6,9,169
150,7,0,6,9,170
151,7,0,37,9,171
152,8,0,5,9,172
153,8,0,12,9,173
154,8,0,37,9,174
155,8,0,6,9,175
156,8,0,17,9,176
157,8,0,4,9,177
158,8,0,9,9,178
159,8,0,17,9,179
160,8,0,9,9,180
161,8,0,2,9,181
162,8,0,13,9,182
163,8,0,4,9,183
164,8,0,9,9,184
165,7,0,6,9,185
166,7,0,6,9,186
167,8,0,3,9,187
168,8,0,3,9,188
169,8,0,2,9,189
170,7,0,2,9,190
171,8,0,10,9,191
172,8,0,3,9,192
173,8,0,4,9,193
174,8,0,4,9,194
175,8,0,3,9,195
176,8,0,10,9,196
177,8,0,9,9,197
178,8,1,0,8,198
179,7,0,13,8,199
180,6,0,20,8,200
181,7,0,6,8,201
182,7,0,10,8,202
183,7,0,17,8,203
184,7,0,12,8,204
185,7,0,5,8,205
186,8,1,0,8,206
187,7,0,19,8,207
188,7,0,27,8,208
189,7,0,6,8,209
190,7,0,10,8,210
191,7,0,12,8,211
192,11,1,0,8,212
193,8,0,13,8,213
194,7,0,9,8,214
195,8,0,14,8,215
196,12,1,0,8,216
197,7,0,7,8,217
198,7,0,13,8,218
199,7,0,28,8,219
200,7,0,12,8,220
201,8,1,0,8,221
202,7,0,6,8,222
203,11,0,1,8,223
204,8,1,0,8,224
205,7,0,7,8,225
206,7,0,4,8,226
207,7,0,6,8,227
208,7,0,3,8,228
209,7,0,4,8,229
210,11,1,0,8,230
211,7,0,13,8,231
212,7,0,13,8,232
213,7,0,6,8,233
214,7,0,17,8,234
215,10,0,3,8,235
216,8,0,3,8,236
217,7,0,15,8,237
218,7,0,5,8,238
219,8,0,3,8,239
220,7,0,10,8,240
221,12,1,0,8,241
222,7,0,4,8,242
223,12,1,0,8,243
224,15,1,0,8,244
225,7,0,4,8,245
226,8,0,10,8,246
227,7,0,12,8,247
228,7,0,12,8,248
229,7,0,21,8,249
230,8,0,13,8,250
231,10,1,0,8,251
232,12,1,0,8,252
233,7,0,23,8,253
234,8,0,3,8,254
235,7,0,6,8,255
236,9,0,10,8,256
237,13,1,0,8,257
238,7,0,21,8,258
239,7,0,6,8,259
240,8,1,0,8,260
241,7,0,12,8,261
242,8,1,0,8,262
243,11,1,0,8,263
244,7,0,15,8,264
245,8,1,0,8,265
246,7,0,5,8,266
247,7,0,3,8,267
248,12,1,0,8,268
249,7,0,21,8,269
250,11,1,0,8,270
