"iteration","coverage","feasible","violation","best_cov_so_far","true_evals","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
0,923246,0,8,NA,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1
0,949029,0,6,NA,2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
0,907041,0,6,NA,3,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1
0,955113,0,9,NA,4,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
0,887813,0,4,NA,5,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1
0,897146,0,4,NA,6,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0
0,888772,0,2,NA,7,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
0,869046,0,7,NA,8,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1
0,938651,0,6,NA,9,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1
0,946147,0,8,NA,10,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
1,568090,1,0,568090,11,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2,568090,1,0,568090,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
3,568090,1,0,568090,13,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
4,568090,1,0,568090,14,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
5,568090,1,0,568090,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
6,568090,1,0,568090,16,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
7,568090,1,0,568090,17,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
8,695421,1,0,695421,18,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
9,682217,0,1,695421,19,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
10,907592,0,4,695421,20,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0
11,781719,0,1,695421,21,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
12,462019,1,0,695421,22,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13,912692,0,2,695421,23,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0
14,749600,0,1,695421,24,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
15,705601,0,1,695421,25,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
16,675762,1,0,695421,26,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
17,570920,1,0,695421,27,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
18,737087,1,0,737087,28,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
19,661062,1,0,737087,29,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
20,698541,1,0,737087,30,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
21,737087,1,0,737087,31,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
22,806301,1,0,806301,32,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
23,806301,1,0,806301,33,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
24,806301,1,0,806301,34,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
25,660297,1,0,806301,35,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
26,757549,0,1,806301,36,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
27,796752,1,0,806301,37,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
28,846782,0,1,806301,38,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
29,806301,1,0,806301,39,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
30,730031,1,0,806301,40,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
31,796752,1,0,806301,41,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
32,806301,1,0,806301,42,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
33,692367,1,0,806301,43,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
34,661149,1,0,806301,44,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
35,744045,1,0,806301,45,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
36,806301,1,0,806301,46,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
37,806301,1,0,806301,47,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
38,862943,0,1,806301,48,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
39,795660,0,1,806301,49,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
40,806301,1,0,806301,50,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
41,806301,1,0,806301,51,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
42,806301,1,0,806301,52,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
43,674965,1,0,806301,53,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
44,806301,1,0,806301,54,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
45,612999,1,0,806301,55,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
46,806301,1,0,806301,56,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
47,752248,1,0,806301,57,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
48,676171,1,0,806301,58,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
49,813779,1,0,813779,59,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
50,674965,1,0,813779,60,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
51,508198,1,0,813779,61,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
52,780580,0,1,813779,62,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
53,813779,1,0,813779,63,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
54,813779,1,0,813779,64,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
55,777945,1,0,813779,65,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
56,813779,1,0,813779,66,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
57,487981,1,0,813779,67,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
58,781426,1,0,813779,68,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
59,739948,1,0,813779,69,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
60,813779,1,0,813779,70,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
61,878269,0,1,813779,71,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
62,822995,0,1,813779,72,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
63,830940,1,0,830940,73,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
64,786901,1,0,830940,74,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
65,747619,0,1,830940,75,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
66,828489,1,0,830940,76,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
67,841449,0,1,830940,77,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
68,828489,1,0,830940,78,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
69,589333,1,0,830940,79,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
70,830940,1,0,830940,80,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
71,830940,1,0,830940,81,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
72,830940,1,0,830940,82,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
73,806555,0,2,830940,83,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
74,830940,1,0,830940,84,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
75,734016,1,0,830940,85,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
76,830940,1,0,830940,86,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
77,811462,1,0,830940,87,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
78,830940,1,0,830940,88,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
79,830940,1,0,830940,89,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
80,835996,0,1,830940,90,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
81,791963,1,0,830940,91,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
82,784912,1,0,830940,92,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
83,758484,1,0,830940,93,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
84,784066,1,0,830940,94,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
85,869619,0,1,830940,95,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
86,736683,1,0,830940,96,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
87,754873,0,1,830940,97,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
88,704507,0,1,830940,98,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
89,831681,0,1,830940,99,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
90,852294,1,0,852294,100,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
91,802477,0,1,852294,101,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
92,852294,1,0,852294,102,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
93,821615,0,1,852294,103,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
94,852294,1,0,852294,104,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
95,793950,1,0,852294,105,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
96,852294,1,0,852294,106,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
97,852294,1,0,852294,107,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
98,835937,1,0,852294,108,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
99,788517,1,0,852294,109,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
100,799802,1,0,852294,110,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
101,809407,0,1,852294,111,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
102,704252,0,1,852294,112,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
103,738692,1,0,852294,113,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
104,718171,1,0,852294,114,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
105,800581,1,0,852294,115,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
106,845885,0,1,852294,116,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
