"method","run","best_coverage","coverage_pct","gap_from_glpk","gap_pct","true_evals","time_seconds","feasible_evals","feasible_rate"
"GLPK",1,875247,91.6380574863917,0,0,NA,0.801,NA,NA
"GA",1,875247,91.6380574863917,0,0,3716,0.124000000000001,2115,0.569160387513461
"DART-CBO",1,875247,91.6380574863917,0,0,260,32560.521,219,0.842307692307692
"DART-CBO",2,846612,88.6399829130166,28635,3.27164788911016,260,21557.549,200,0.769230769230769
"DART-CBO",3,875247,91.6380574863917,0,0,260,21747.468,201,0.773076923076923
"DART-CBO",4,845885,88.5638662650388,29362,3.3547101561045,260,23676.757,209,0.803846153846154
"DART-CBO",5,835280,87.453526441374,39967,4.56636812237003,260,25052.239,186,0.715384615384615
"DART-CBO",6,872611,91.3620692001889,2636,0.301172126268356,260,21201.026,196,0.753846153846154
"DART-CBO",7,824426,86.3171164040276,50821,5.80647520071477,260,22647.827,241,0.926923076923077
"DART-CBO",8,858890,89.9254852567183,16357,1.86884388064169,260,22962.794,210,0.807692307692308
"DART-CBO",9,875247,91.6380574863917,0,0,260,23317.268,205,0.788461538461538
"DART-CBO",10,875247,91.6380574863917,0,0,260,21394.828,227,0.873076923076923
