"generation","best_feasible","penalty_weight","instance","seed"
1,12771368,0.1,1,1001
2,12771368,0.1,1,1001
3,12771368,0.1,1,1001
4,13258816,0.1,1,1001
5,13258816,0.1,1,1001
6,13258816,0.1,1,1001
7,13258816,0.1,1,1001
8,13258816,0.1,1,1001
9,13258816,0.1,1,1001
10,13258816,0.1,1,1001
11,13258816,0.1,1,1001
12,13258816,0.1,1,1001
13,13258816,0.1,1,1001
14,13258816,0.1,1,1001
15,13258816,0.1,1,1001
16,13258816,0.1,1,1001
17,13258816,0.1,1,1001
18,13258816,0.1,1,1001
19,13258816,0.1,1,1001
20,13258816,0.1,1,1001
21,13258816,0.1,1,1001
22,13274902,0.1,1,1001
23,13372328,0.1,1,1001
24,13372328,0.1,1,1001
25,13372328,0.1,1,1001
26,13372328,0.1,1,1001
27,13372328,0.1,1,1001
28,13372328,0.1,1,1001
29,13372328,0.1,1,1001
30,13372328,0.1,1,1001
31,13372328,0.1,1,1001
32,13372328,0.1,1,1001
33,13372328,0.1,1,1001
34,13372328,0.1,1,1001
35,13372328,0.1,1,1001
36,13372328,0.1,1,1001
37,13372328,0.1,1,1001
38,13372328,0.1,1,1001
39,13372328,0.1,1,1001
40,13372328,0.1,1,1001
41,13372328,0.1,1,1001
42,13372328,0.1,1,1001
43,13372328,0.1,1,1001
44,13372328,0.1,1,1001
45,13372328,0.1,1,1001
46,13372328,0.1,1,1001
47,13372328,0.1,1,1001
48,13372328,0.1,1,1001
49,13372328,0.1,1,1001
50,13372328,0.1,1,1001
51,13372328,0.1,1,1001
52,13372328,0.1,1,1001
53,13372328,0.1,1,1001
54,13372328,0.1,1,1001
55,13372328,0.1,1,1001
56,13372328,0.1,1,1001
57,13372328,0.1,1,1001
58,13372328,0.1,1,1001
59,13372328,0.1,1,1001
60,13372328,0.1,1,1001
61,13372328,0.1,1,1001
62,13372328,0.1,1,1001
63,13372328,0.1,1,1001
64,13372328,0.1,1,1001
65,13372328,0.1,1,1001
66,13372328,0.1,1,1001
67,13372328,0.1,1,1001
68,13372328,0.1,1,1001
69,13372328,0.1,1,1001
70,13372328,0.1,1,1001
71,13372328,0.1,1,1001
72,13372328,0.1,1,1001
73,13372328,0.1,1,1001
74,13372328,0.1,1,1001
75,13372328,0.1,1,1001
76,13372328,0.1,1,1001
77,13372328,0.1,1,1001
78,13372328,0.1,1,1001
79,13372328,0.1,1,1001
80,13372328,0.1,1,1001
81,13372328,0.1,1,1001
82,13372328,0.1,1,1001
83,13372328,0.1,1,1001
84,13372328,0.1,1,1001
85,13372328,0.1,1,1001
86,13372328,0.1,1,1001
87,13372328,0.1,1,1001
88,13372328,0.1,1,1001
89,13372328,0.1,1,1001
90,13372328,0.1,1,1001
91,13372328,0.1,1,1001
92,13372328,0.1,1,1001
93,13372328,0.1,1,1001
94,13372328,0.1,1,1001
95,13372328,0.1,1,1001
96,13372328,0.1,1,1001
97,13372328,0.1,1,1001
98,13372328,0.1,1,1001
99,13372328,0.1,1,1001
100,13372328,0.1,1,1001
1,12771368,1,1,1001
2,12771368,1,1,1001
3,12771368,1,1,1001
4,13258816,1,1,1001
5,13258816,1,1,1001
6,13258816,1,1,1001
7,13258816,1,1,1001
8,13258816,1,1,1001
9,13258816,1,1,1001
10,13258816,1,1,1001
11,13258816,1,1,1001
12,13258816,1,1,1001
13,13258816,1,1,1001
14,13258816,1,1,1001
15,13258816,1,1,1001
16,13258816,1,1,1001
17,13258816,1,1,1001
18,13258816,1,1,1001
19,13258816,1,1,1001
20,13258816,1,1,1001
21,13258816,1,1,1001
22,13274902,1,1,1001
23,13372328,1,1,1001
24,13372328,1,1,1001
25,13372328,1,1,1001
26,13372328,1,1,1001
27,13372328,1,1,1001
28,13372328,1,1,1001
29,13372328,1,1,1001
30,13372328,1,1,1001
31,13372328,1,1,1001
32,13372328,1,1,1001
33,13372328,1,1,1001
34,13372328,1,1,1001
35,13372328,1,1,1001
36,13372328,1,1,1001
37,13372328,1,1,1001
38,13372328,1,1,1001
39,13372328,1,1,1001
40,13372328,1,1,1001
41,13372328,1,1,1001
42,13372328,1,1,1001
43,13372328,1,1,1001
44,13372328,1,1,1001
45,13372328,1,1,1001
46,13372328,1,1,1001
47,13372328,1,1,1001
48,13372328,1,1,1001
49,13372328,1,1,1001
50,13372328,1,1,1001
51,13372328,1,1,1001
52,13372328,1,1,1001
53,13372328,1,1,1001
54,13372328,1,1,1001
55,13372328,1,1,1001
56,13372328,1,1,1001
57,13372328,1,1,1001
58,13372328,1,1,1001
59,13372328,1,1,1001
60,13372328,1,1,1001
61,13372328,1,1,1001
62,13372328,1,1,1001
63,13372328,1,1,1001
64,13372328,1,1,1001
65,13372328,1,1,1001
66,13372328,1,1,1001
67,13372328,1,1,1001
68,13372328,1,1,1001
69,13372328,1,1,1001
70,13372328,1,1,1001
71,13372328,1,1,1001
72,13372328,1,1,1001
73,13372328,1,1,1001
74,13372328,1,1,1001
75,13372328,1,1,1001
76,13372328,1,1,1001
77,13372328,1,1,1001
78,13372328,1,1,1001
79,13372328,1,1,1001
80,13372328,1,1,1001
81,13372328,1,1,1001
82,13372328,1,1,1001
