"generation","best_feasible","penalty_weight","instance","seed"
1,12760899,2,2,1002
2,12760899,2,2,1002
3,12760899,2,2,1002
4,12823385,2,2,1002
5,12823385,2,2,1002
6,13115136,2,2,1002
7,13115136,2,2,1002
8,13115136,2,2,1002
9,13221757,2,2,1002
10,13221757,2,2,1002
11,13221757,2,2,1002
12,13221757,2,2,1002
13,13221757,2,2,1002
14,13221757,2,2,1002
15,13221757,2,2,1002
16,13247223,2,2,1002
17,13247223,2,2,1002
18,13247223,2,2,1002
19,13247223,2,2,1002
20,13369041,2,2,1002
21,13369041,2,2,1002
22,13369041,2,2,1002
23,13369041,2,2,1002
24,13369041,2,2,1002
25,13369041,2,2,1002
26,13369041,2,2,1002
27,13369041,2,2,1002
28,13369041,2,2,1002
29,13369041,2,2,1002
30,13369041,2,2,1002
31,13369041,2,2,1002
32,13369041,2,2,1002
33,13369041,2,2,1002
34,13369041,2,2,1002
35,13369041,2,2,1002
36,13369041,2,2,1002
37,13369041,2,2,1002
38,13369041,2,2,1002
39,13399767,2,2,1002
40,13399767,2,2,1002
41,13403702,2,2,1002
42,13403702,2,2,1002
43,13403702,2,2,1002
44,13403702,2,2,1002
45,13403702,2,2,1002
46,13403702,2,2,1002
47,13403702,2,2,1002
48,13403702,2,2,1002
49,13403702,2,2,1002
50,13403702,2,2,1002
51,13403702,2,2,1002
52,13403702,2,2,1002
53,13403702,2,2,1002
54,13403702,2,2,1002
55,13403702,2,2,1002
56,13403702,2,2,1002
57,13403702,2,2,1002
58,13403702,2,2,1002
59,13403702,2,2,1002
60,13403702,2,2,1002
61,13403702,2,2,1002
62,13403702,2,2,1002
63,13403702,2,2,1002
64,13403702,2,2,1002
65,13403702,2,2,1002
66,13403702,2,2,1002
67,13403702,2,2,1002
68,13403702,2,2,1002
69,13403702,2,2,1002
70,13403702,2,2,1002
71,13403702,2,2,1002
72,13403702,2,2,1002
73,13403702,2,2,1002
74,13403702,2,2,1002
75,13403702,2,2,1002
76,13403702,2,2,1002
77,13403702,2,2,1002
78,13403702,2,2,1002
79,13403702,2,2,1002
80,13403702,2,2,1002
81,13403702,2,2,1002
82,13403702,2,2,1002
83,13403702,2,2,1002
84,13403702,2,2,1002
85,13403702,2,2,1002
86,13403702,2,2,1002
87,13403702,2,2,1002
88,13403702,2,2,1002
89,13403702,2,2,1002
90,13403702,2,2,1002
91,13403702,2,2,1002
92,13403702,2,2,1002
93,13403702,2,2,1002
94,13403702,2,2,1002
95,13403702,2,2,1002
96,13403702,2,2,1002
97,13403702,2,2,1002
98,13403702,2,2,1002
99,13403702,2,2,1002
100,13403702,2,2,1002
